sentence,intent
"Vâng, e biết r",agree
Nhầm ghế ko phải xe,disagree
Ssh ơi,greet
shop ơi người hay bot thế ạ?,ask_is_bot
Hi bạn?,greet
hi shop!,greet
Hì. Srr shop,greet
La nguoi hay chatbot the?,ask_is_bot
Đc đó đúng rồi,agree
"Ok shop, mình cảm ơn vậy để mình xem rồi nhắn shop nhé. Cảm ơn shop nhiều.",thank
Ok shop. Thanks!,thank
combi sản xuất tại đâu vậy e,query_knowledge_base
Vâng ghi nhầm c ạ,agree
Da e cảm ơn Shop,thank
bot hay ng,ask_is_bot
Vâng thế thì đc rồi ạ,agree
Màu hồng tớ hk thích mấy:(( vì sợ bẩn:(( còn cái nào màu tối hk cậu:(,disagree
cho mình lấy 1 chiếc nhé,query_knowledge_base
Úi ui,greet
ừ biết chỗ đê quai rồi,agree
"Mình vừa nhận hàng, rất ưng ý, ship lại rẻ 2 chiếc mà 115k thôi, cảm ơn shop nhiều nhé",thank
aloii,greet
alo c ơi,greet
C uiuiuiui,greet
Alo shop.,greet
Bên bạn có bán cả loại nôi rung nữa đúng ko bạn ??,query_knowledge_base
Nhà mình có thảm nằm phát nhạc cho bé 2m K ạ,query_knowledge_base
Âlo,greet
B ơiiiiiii,greet
Rùi ukj shop,agree
bot tự động à?,ask_is_bot
Dạ vâng:(,agree
Đúng rồi màu xanh như hình,agree
shop oi bot hay nhan vien vay ah,ask_is_bot
"Alo sh ơi,",greet
Chôz bạn còn sale e này299k ko,query_knowledge_base
Okie thank b để m đặt luôn :),thank
"vâng, cái này em công nhận :D
mà nếu làm chuẩn ngay từ đầu thì sẽ ko mất thời gian cho cả em và chị
vì em biết thắc mắc này lọ, có 5K chắc chị cũng thấy khó chịu",agree
B còn bộ xanh hồng ko?,query_knowledge_base
dạ đúng rồi sho,agree
auto tra loi?,ask_is_bot
C ơi ship cho e 1 bộ đồ chơi htrc e hỏi đc ko a,query_knowledge_base
ko phải con mèo nay,disagree
có đc tặng cái treo trên xích đu cho bé k b,query_knowledge_base
Ukie t cám ơn,thank
Ok mình cảm ơn nhiều nhé,thank
Hello bạn ơi,greet
Dạ dung roi,agree
Vâng k sao mà c,agree
Vâng e thấy rồi,agree
bạn cho mình giá của cả bộ có cầu trượt  xích đu  ngựa,query_knowledge_base
Shop còn ghế này màu hồng k,query_knowledge_base
M mua ghế ăn dặm k phải ghế rung,disagree
"Mà mình ở Hạ Long, ko phải Hải Phòng bn nha",disagree
Aloc,greet
Alo e oi,greet
Chu ko phai cau thang,disagree
Hiccc m cảm ơn nhé 😭,thank
ays ơi,greet
chu k phải mẫu này,disagree
thanh chắn gường này xuất xứ như thế nào vậy ạ?,query_knowledge_base
Bàn này rối lm e k thích,disagree
Chứ k phải là 2 combo đâu c ạ,disagree
Alooo??,greet
Alo chih oi,greet
Alo shop ô,greet
chứ k phải chắn giường nhé,disagree
Đúng rồi c nhé,agree
Size M mới có thảm toy 1m8 x 2m ah,query_knowledge_base
Em oiiiiiiii,greet
ko phải loại này ạ,disagree
câu ơi,greet
cám ơn chị nhé,thank
Xe này nặng bao nhiêu cân ạ c,query_knowledge_base
Chatbot tu dong ah?,ask_is_bot
Da vâng ạ.,agree
BẠn oi,greet
Dùng cho trẻ 1 tuổi dc k,query_knowledge_base
M khong thich màu xam giong hinh,disagree
Mẫu mas này tớ k thích lắm,disagree
Ko phải 2350k,disagree
Đúng rồi sh,agree
Vâng.shop ship giúp m,agree
"Vâng, thế chị đổi giúp em nhé",agree
bot ah shop oi,ask_is_bot
Vâng c e tham khảo thêm chút có gì e ib nha c,agree
Ok b. Thanks  b nhé,thank
Shop ơi cho mình hot chất liệu của ghế ăn aricare là vải hay da?,query_knowledge_base
xanh chuối chứ ko phải xanh dương ạ,disagree
Cị oi,greet
Vâng ạt,agree
Mà hai chiếc này bé ngồi đc đến lúc bn cân? Mấy tuổi hả bạn?,query_knowledge_base
Mẹ kia ơi,greet
Em k thích màu hồng hahaa,disagree
Ko phải rửa bình banh ạ,disagree
Mình đang chat với người hay chatbot thế?,ask_is_bot
Àk vâng😊,agree
Aloioo,greet
Vây cam on b nhiu nha .,thank
Oko cam on shop nhìu nha,thank
Ok b. Thank b nha,thank
có hình gần hơn ko,query_knowledge_base
Alo ad oi,greet
ng hay bot?,ask_is_bot
"Cho mình hỏi , thành bể làm bằng chất liệu gì vậy",query_knowledge_base
ko phải mã 319,disagree
bạn còn gh  ăn dặm morekiss k nhỉ,query_knowledge_base
Thanh chắn giường ý ko phải thảm b ạ,disagree
hàng sx tại đâu ạ,query_knowledge_base
Ko phải dạng gối này cậu ạ. Dạng chặn cả tay í,disagree
Ng hay bot?,ask_is_bot
Alo alo alp,greet
"Vâng, thế cũng may ạ",agree
alooo shop ơi,greet
"T
 Cảm ơn",thank
cảm ơn bên em hen,thank
cầu trượt xích đu riêng bnhieu ạ,query_knowledge_base
Alo bạn ơi !,greet
Có ảnh nghiên của ghế ăn dặm trên k ạ,query_knowledge_base
Alo s oi,greet
Co b oi,greet
Alooo,greet
Chị cho hỏi shop mình vovo không được tặng túi đựng xe ạ,query_knowledge_base
chị ơi cốc richell 3 giai đoạn là sản xuất tại đâu ạ?,query_knowledge_base
Ckj ơi,greet
giươ ng có bảo hành ko ban,query_knowledge_base
Cảm ơn shop nhìu nhe,thank
Gối chất liệu gì e,query_knowledge_base
Alo p,greet
À vâng cảm ơn shop ạ,thank
Vâmg e cảm ơn ạ,thank
bên m xe đẩy vovo 1 chiều giá ntn ạ,query_knowledge_base
Ko phải shopee,disagree
Ok thanks b nha :),thank
K phải xe đẩy,disagree
có những màu nào b,query_knowledge_base
cảm ơn bạn nhiều,thank
Vâng.  Em cảm ơn. Mai em ck xong em gửi ảnh nhé :3,thank
Da e cam on co j e se bao lai,thank
"Dạ vâng, cám ơn bạn ạ. Nãy mình bận chưa trả lời dc",thank
Dạ Vâng c,agree
À ko phải xe đẩy,disagree
M k thích 2 mẫu này lắm,disagree
chat bot hay nhan vien?,ask_is_bot
Hà uhm,agree
Ak dạ vâng ạ,agree
Thê thôi mình k lấy hồng đâu ạ . Để có màu xanh thì mình mua ạ,disagree
Alo bn ơi,greet
vâng đc ạ,agree
Ok. Cảm ơn shop.,thank
Mình đặt xanh biển chứ không phải xanh lá,disagree
Thanks bạn ah,thank
xe này hãng nào đấy e,query_knowledge_base
M ko thich mau đen nay lam,disagree
Có hình ảnh khi gập k ạ,query_knowledge_base
À mình hiêu rồi. Thanks bạn. Để mình qua shopee xem thử,thank
Máy đôi thì bnhiêu hả shop,query_knowledge_base
Uhm em ơi,greet
cái này của hãng nào b nhỉ,query_knowledge_base
Thung đó nặng bn kg ạ,query_knowledge_base
Thanks shop nhr,thank
có phải bot không shop?,ask_is_bot
"vâng, vậy thôi ạ.",agree
"Ời, xe này dáng chị ko thích",disagree
Alooooooo shop ơi,greet
bot hay ng?,ask_is_bot
ua c ơi,greet
Alo shop oi...,greet
Giá đó thì ok nhưng mình muốn hỏi là màu xanh nhạt ấy,query_knowledge_base
Cảm ơn ạ . Mình sẽ qua mua trực tiếp ạ,thank
Alo ạ?,greet
Bé gái nhà mìh ko thích ghi lắm,disagree
À vâng.thế để e tìm mua.,agree
có mấy màu  giá bao nhiu vậy,query_knowledge_base
nồi sx ở  đâu vậy ah,query_knowledge_base
gửi ảnh báo giá hộ mih nhé,query_knowledge_base
K thích ong nâu,disagree
ko phải ý mình là giá cả,disagree
b oi báo giá giúp mình xe đẩy vinng lun nhé,query_knowledge_base
Alo aloooo,greet
à đúng rồi,agree
Ok thank shop. Thế mình sẽ để ý lần sau k nghĩ shop nghỉ CN,thank
Alooi,greet
"Vâng, tks shop nhé",agree
Vâng. Thế cũng đc,agree
hi bạn ơi,greet
vâng thế thì e yên tâm rồi ạ,agree
sx trung quốc hả shop,query_knowledge_base
Hi shop,greet
K phai 205,disagree
Mấy tuổi dùng đc ak?,query_knowledge_base
Tự động trả lời?,ask_is_bot
Thank shop nha !,thank
chieu dai khoang 55 phan nhi,query_knowledge_base
Ko bạn oi,greet
Cám ơn shpp,thank
nhan vien hay chatbot vay,ask_is_bot
Mình k thích royalcare lắm,disagree
Vâng . đúg rôi a,agree
đúng rồi chị,agree
bên bạn ghế ngồi oto có của những hãng nào?,query_knowledge_base
"Ừ, mình cám ơn",thank
Alo mn oie,greet
shop oiq,greet
Nhưng ko phải con tai hồng 🙄,disagree
Alo ah,greet
K phải miếng ghép,disagree
Ko phải vde chiều rộng,disagree
"Dạ m cảm ơn, m sẽ ghé sau ạ",thank
Alo bạn ơi?,greet
Alo x ơi,greet
cho m a nh ghê  ăn phap,query_knowledge_base
Ko phải 1 lần,disagree
Hi bạn ơi,greet
Aloooi,greet
alo o,greet
thank iuuuu,thank
Dạ vâng để e thử qua shopee,agree
E k thích mẫu củ,disagree
M muốn mua xe đẩy,query_knowledge_base
ALO SHOP ƠI,greet
vâng ok ạ :(,agree
Alo bí,greet
Minh ko thich mau trắng,disagree
K phải của mastela đâu nha. Tomorrow sky gì í,disagree
Chị yêu ới,greet
ko phải cầu thang,disagree
Vâng oke shop,agree
Shop ơi cho mình hỏi có loại này ko,query_knowledge_base
Vâng ah . ^^,agree
Chứ ko phait giươnhf,disagree
ko phải thiếu ốc b ơi,disagree
Ko phải thảm xpe đâu í,disagree
Hi shopppp,greet
"hic, dạ vâng ạ :(",agree
Loại xe đơn ko phải đôi,disagree
Alo. Shop ơi,greet
nhưng ko phải xe cũ,disagree
Đúng rồi mình cũng thích mẫu này,agree
Alô e,greet
Thanks c nhiud nha,thank
Vâng mình cảm ơn shop ạ,thank
Đâ bạn ơi,greet
Bé nhà 8tháng boi dc chứ ạ,query_knowledge_base
" ""Có thanh nào 2,2m k b 😂""",query_knowledge_base
cho em xem vs ạ,query_knowledge_base
shop ơi/,greet
Dạ cám ơn shop. Mình sẽ liên hệ  lại sau,thank
t k thích loại mỏng,disagree
Loại ghế rung này bao tiền vậy  shop,query_knowledge_base
vâng mình đặt r b ơi,agree
"dạ vâng, em cảm ơn chị nhé",thank
nhựa j vậy bạn,query_knowledge_base
Alo c ơiii,greet
uh cảm ơn b nhé,thank
Nhg c ơi,greet
xuất xứ của nước nào ak,query_knowledge_base
con joie và mastela là sx tại tq ha b,query_knowledge_base
Ko phải 216 bị liệu,disagree
Shop cho mình hỏi bể bơi thành cao chất liệu gì vậy?,query_knowledge_base
alooo pan oi,greet
Alo shop ui,greet
Gấu ới,greet
Vậy cho e hỏi e có thể mua quây toys house và mua thêm xích đu lẻ ko ạ?,query_knowledge_base
Chụp cho tớ màu xanh đậm đc ko b,query_knowledge_base
Da vang em cam on ạ,thank
Hả shop ơi,greet
hàng chính hãng lun hả shop,query_knowledge_base
À oke Mình cám ơn,thank
vâng a hiii cháu thic lm,agree
vâg thê bên minh k bán lẻ minh quây vs xích đu đúng k ạ,query_knowledge_base
Cảm ơn shop. Mình sẽ tham khảo thêm .,thank
Bạn dì ơi,greet
co phai ng khong,ask_is_bot
cốc tập hút 3 giai đoạn của hãng nào e,query_knowledge_base
Alo ạ?!,greet
alo shop ui,greet
Shop ơi cho e xin giá mẫu này ạ,query_knowledge_base
"Ghế Mastela dòng cũ, ko phải mẫu 2018 nha",disagree
Aloo c ơi,greet
"Ok ko vấn đề gì, mình nhận đc hàng rồi. Cảm ơn shop nhé",thank
cái này là của nước nào sx thế em,query_knowledge_base
dag khuyen mai con k ban,query_knowledge_base
Chị mình ko thích kiểu tròn này,disagree
Bể bơi nhà mình thì bn hả b?,query_knowledge_base
Ko phải kiểu chậu này đâu ạ,disagree
"Ok,thanks!",thank
bạn ơi  xe đẩy hope đang km khung xe làm bằng chất liệu j,query_knowledge_base
Aloooooooooooooo,greet
Mình tìm đc rồi cảm ơn bạn ai,thank
"Hi Chị,",greet
cho mình xin giá gh  ăn dặm mastela 1016,query_knowledge_base
t k thích kiểu nhẹ quá xong bị vênh cả 4 góc lên yys,disagree
à vâng thaks shop,agree
Alo c oie,greet
Alo chị oi,greet
hàng này xuất xứ sao b,query_knowledge_base
Đúng ròii,agree
Em cảm on chị,thank
alo ấy ơi,greet
K phải tuần này nhé,disagree
cho e xin giá của giường đệm cho bé với ạh,query_knowledge_base
xuất xứ là nước nào sản xuất vậy shop?,query_knowledge_base
trời ời,greet
Dạ e cảm on chị,thank
À uk .,agree
Không phải loại xe tròn đâu,disagree
Thanks p,thank
K phải nôi,disagree
Alo??,greet
"ừ, thế phải báo thức không lại quên mất",agree
A ban co binh sua chong trao nguoc cho bé k,query_knowledge_base
Đúng rồi n,agree
2 màu đó m ko thích,disagree
Da vang dung roi,agree
Cám ơn sh nhiều lắm nè,thank
"M
Cam on nhe",thank
Xe nặng bnhieu kg ạ? Có đủ đ để bé đẩy k bị trượt k ạ?,query_knowledge_base
Vovo đúng rồi ạ,agree
Cậu ơiiiiii,greet
vâng cod okie,agree
đang trong đợt sale off cuối năm  shop có giảm gì không,query_knowledge_base
Vâng shop. Xin lỗi đã hiểu nhầm sh,agree
đúng rồi Em,agree
"Dạ, vâng a",agree
"Oke bạn , cám ơn bạn",thank
Vậy ah M cảm ơn cậu nhé,thank
K phải cột nhôm tròn đâu,disagree
không phải màu xanh tím than,disagree
j hak.... j cam on shop,thank
Alô bạn ơi,greet
Chị muốn lấy hình này,query_knowledge_base
Vâng đổi luôn 1 đợt c ạ,agree
à thảm silicon,query_knowledge_base
Đc c ơi,greet
Ghế sale còn bnhieu ạ,query_knowledge_base
Nhưng ko thích màu hồng,disagree
co phai bot khong,ask_is_bot
Bé nhà mh là bé gái nhưng mh k thích màu hồng :(((,disagree
Sh oi2,greet
Vâng c ui,agree
Alo shop???,greet
Bn shop ơiiii,greet
Vâng oki b,agree
Màu này mình ko thích lắm,disagree
Ko phải cái loại gấp gọn đâu ạ,disagree
Đúng rồi á,agree
Chứ ko phải ghế hanbei đâu,disagree
Vâng..,agree
ok m cám ơn nhé,thank
"Vâng ạ, chắc ngày nào cũng cho bơi quá",agree
Alo b ơiiiiii,greet
hi sho[,greet
Mình muốn mua ghế ăn dặm cho bé 6 tháng shop tư vấn cho mình vs,query_knowledge_base
đúng rồi hop j,agree
Ib mình giá quây và thảm nha,query_knowledge_base
Màu xanh đậm k thì mình k thích lắm,disagree
Shop cho mình hỏi cái này giá bn vậy shop?,query_knowledge_base
cảm ơn em.,thank
dạ vâng chị,agree
ko báo giá giúp mình để mình ck ah,query_knowledge_base
"K phải, loại giường cũi cơ",disagree
của hãng nào vậy ak,query_knowledge_base
Ko phải dạng bịch như giấy ướt,disagree
K phai o hà nội,disagree
vâng ok sh,agree
Hi shop ạ,greet
alo bạn oi,greet
Dạ vâng em cảm ơn c,thank
Trời ui,greet
Shop oi xe này còn hình đầu sư tử k,query_knowledge_base
set holla này của nước nào ạ,query_knowledge_base
Vâng. Minh ngiên cứu xong minh nt shop ạ. Thanks,thank
ừa okie b !! t đang lắp r :d,agree
T cảm ơn nhìu 😍,thank
Ko phải rèm màu trăng,disagree
Ad bạn ơi,greet
Cho m xin link tổng hợp các loại xe đẩy bên shop đc ko ạ,query_knowledge_base
xuất xứ từ đâu z shop,query_knowledge_base
bạn đê cho mình 1 cái nhé,query_knowledge_base
Dạ vâng ạ để e đặt ạ,agree
Cảm ơn b nhiu,thank
Ao c ơi,greet
cái shop vừa gởi của nước nào,query_knowledge_base
Alo c ơiiiiiiiii,greet
bot ạ?,ask_is_bot
Oki thanks shop nhé mình sẽ tham khảo,thank
2 cái kia bên mình có lấy hàng nữa ko ak ???,query_knowledge_base
"alo,",greet
Nhưng k thích lắm,disagree
Vâng chờ mình ktra,agree
k phải 549,disagree
Ko phải loại fax này,disagree
Tại mình k thích màu tím,disagree
Đúng rồi mà,agree
Thanks o,thank
Với mầu mình cũng ko thích b ạ,disagree
Hì vâng,agree
Set 6 còn k shop,query_knowledge_base
Vs mình thấy bên bạn có mí đồ chơi gặm nứu cho bé mình muốn mua kèm vào luôn đc k,query_knowledge_base
Mình cảm on ạ,thank
Đúng rồi bạn thanh chứ y mình ko mua,agree
"Ủa, shop ơi",greet
alo s ơi,greet
Dạ chị oi,greet
ghe minh sx o dau?,query_knowledge_base
mẫu này của nước nào sx vậy b,query_knowledge_base
Vâng ah tks shop nhiều,agree
Alo Chị ơi,greet
"Ko sao nè, thanks shop nhé",thank
Hi d,greet
À dạ vâng c,agree
ALO ALO,greet
Dạ em cảm ơn chị ạ,thank
Dạ thank bạn,thank
không phải gửi nhanh ạ,disagree
Màu đấy mình ko thích,disagree
Vâng. Đi rồi,agree
Chatbot hay nguoi vay shop?,ask_is_bot
Vâng 😅,agree
E k thích vuông lắm,disagree
à cái đấy mình chơi tới bn tuổi ạ  như cái xích đu với cầu trượt thì chơi khoảng bn tuổi thì ko vừa,query_knowledge_base
Hi add,greet
Vâng b xem lại hộ mình với,agree
Chị oi,greet
Dạ vâng đr shop,agree
Người hay bot vậy shop,ask_is_bot
Đúng rồi đó shop,agree
Alo nagf ơi,greet
Aloooo shoppppp,greet
Gui t xem bộ dc k,query_knowledge_base
shop vui lòng cho mình hỏi ghế ăn này xuất xứ nước nào ạ?,query_knowledge_base
K phải đâu,disagree
Giá cả thế nào nữa,query_knowledge_base
Alo C,greet
Cảm ơn shop nhiều ạ.,thank
Dạ em cam on chị,thank
Đúng rồi b ạh,agree
Aloooo shop ơi,greet
Ad ơi?,greet
"Hi shop ơi,",greet
Ko phải bạn ạ,disagree
Vậy thôi cho mình order cái thảm thôi nhé,query_knowledge_base
mình ko thích mẫu này,disagree
Uh. Thank shop.,thank
Loại này ko phải rồi,disagree
Mình k thích màu xanh,disagree
sx tai dau,query_knowledge_base
chatbot hả,ask_is_bot
có b ơi,greet
shop ơi \,greet
Ok e cám ơn shop,thank
Ko phải chắn giường b ou,disagree
Tròn mình k thích,disagree
"Vâng, giao sớm giúp e nhé, e cần lắm",agree
"Em cảm ơn,",thank
Chứ ko phải 2 cặp (4chiec) nhé,disagree
Alo b ui,greet
K thích cái màu xám,disagree
Cám ơn bạn ah,thank
bot hay nvien?,ask_is_bot
Sop oi!,greet
Uh t cảm ơn c,thank
Thanks shop xe chắc chắn rất ok,thank
Bạn m lại k thích màu hồng,disagree
Vâng thế e đợi mẫu mới,agree
Bot à shop ơi,ask_is_bot
K phải là cao su ạ,disagree
ờ cậu ơi,greet
Chất liệu là nhựa gì vậy shop,query_knowledge_base
Oki shop~ mình cảm ơn nhé,thank
2 xe này xuất xứ nước nào ạ,query_knowledge_base
"uki cảm ơn shop, m chưa thạo shopee lắm",thank
huhu b ơi,greet
tu dong tra loi a?,ask_is_bot
Xe trọng lượng bnhiu thế ạ,query_knowledge_base
Ok cám ơn b. Mai m qa shop xem,thank
mình cảm ơn nhé.,thank
nvien hay chatbot vay?,ask_is_bot
cái thứ 3 giá bao nhiêu ạ,query_knowledge_base
"dạ, cảm ơn s nhiều, em xem thêm có gì ib lại s",thank
Vang ak e cam on,thank
dạ vâng:),agree
Vi be trai nen minh k thich hong,disagree
Dạ c . E cám ơn,thank
Ko phải thái nguyên nhé,disagree
Vâng ạ. E cám ơn c ạ :D,thank
xe này hãng nào v ạ,query_knowledge_base
alo b ơi,greet
Cún có màu hồng ko shop,query_knowledge_base
Alo bn oi,greet
Vâng ak!,agree
Uh cám ơn bạn nhé,thank
Dung roi dia chi cu,agree
ALO,greet
shop sử dụng bot à?,ask_is_bot
Thảm toys house 1m4 x 2m còn ko ạ,query_knowledge_base
Vâng thế đc r ạ,agree
Xe nặng bao nhiêu kg thế,query_knowledge_base
Shi ơi,greet
K phải trượt bóng rổ nhé,disagree
Hi Thuy,greet
Hđúng rồi,agree
tha m mi nh gư i co  ba o ha nh chư,query_knowledge_base
Thế này k đc đâu b ơi,disagree
Ơ C ui,greet
C ơi cho em giá hộp đựng đồ của Nhật c vừa up nhé,query_knowledge_base
Chatbot hay người?,ask_is_bot
"Vâng ạh, đợi mình báo nhé",agree
ok b. t cảm ơn nhé,thank
Ng hay máy vậy shop,ask_is_bot
Nhưng k thích con đỏ,disagree
b ơi bên b còn xe tập đi tommorrow k,query_knowledge_base
Mình cảm ơn b ^^,thank
"dạ ok thanks shop, mình sẽ xem trên shoppe ạ",thank
Mình mún mua cái quây bóng,query_knowledge_base
Ko phải xe đẩy ạ,disagree
cho mình xem con chó 209k   xe bus màu vàng 189k và xe tập đi win vs ạ,query_knowledge_base
Thảm cuộn chất liệu giống thảm gấp ko bạn và là chất liệu j nhỉ,query_knowledge_base
"vâng, cảm ơn shop đã phản hồi ạh",thank
k phải như kén ạ,disagree
Cám ơn shop. Để mình nghiên cứu th,thank
vâng c nhé,agree
"Vâng ạ
E muốn đặt qua shopee",agree
Thanks shop nhiều!,thank
Ko phải túi trữ sữa mà kiểu dạng cáu túi đựng bình sữa để giữ lạnh đó bạn,disagree
Xanh đậm thì mình k thích,disagree
Alooooooooooo,greet
Ok shop m cảm ơn nhé. Có gì m sẽ ghé shop mua,thank
Vâng thoii cũng đc ah,agree
"Vâng , ok ạ",agree
K bạn ơi.,greet
hi anh/ chị,greet
à bên bạn co bán bột sữa lăc k,query_knowledge_base
Nhưng mình ko thích màu kem,disagree
N k thích thảm gấpp,disagree
Có màu ko ạ,query_knowledge_base
Alo alo alo,greet
cho mình hình dc ko,query_knowledge_base
Có phải ng ko,ask_is_bot
Mình cảm ơn nhe,thank
Vâng ạk. E đang đi xem trên youtube tìm hiểu,agree
bn ak,query_knowledge_base
hi e oi,greet
Alo Shop ơi,greet
Cái này hôm nay giá bn vậy shop?,query_knowledge_base
cua nuoc nao sx b nhi,query_knowledge_base
Mình hỏi về bể bơi dựng thành cao,query_knowledge_base
dạ đúng ròi,agree
Ghế còn ghế khủng long nhu mình đặt k ạ,query_knowledge_base
Cảm ơn r,thank
Bên b k có loại này đúng k ạ?,query_knowledge_base
ghê  ô tô cho bé từ mấy tháng vậy b,query_knowledge_base
Vâng ạ có gì em sẽ báo lại ạ :3,agree
Thanks shop nhìu ạ,thank
Cai nay bn ah c,query_knowledge_base
ban oi báo giá minh thanh chắn giuong 1m8x2m với thêm 2 thanh chắn giường,query_knowledge_base
À v e cám ơn. Nôn nhận hàng quá  tr,thank
Vâng!,agree
Có link tiki ko ạ,query_knowledge_base
set này còn dc km ko ạ,query_knowledge_base
Thankss..mình sẽ llac lai☺️,thank
alo ạ ?,greet
Minh ko thich a,disagree
thảm silicon của toy house 1 4mx1 4m còn mẫu j hả c,query_knowledge_base
dạ shop gửi e xin link mấy sp gh  ăn dặm vs ạ e đang cần mua ko đợt này con e nó quấy quá,query_knowledge_base
vậy c cảm ơn,thank
Ơ ko phải shop ơi,disagree
"Ok, thanks ạ",thank
1 đai hồng+cốc upass+dưỡng bé +thú nhún hồng,query_knowledge_base
tự động trả lời à shop ơi?,ask_is_bot
Cám ơn hàng rất tuyệt,thank
shop ơi bên mình có bình thìa loại nào,query_knowledge_base
Ko phai zaracos,disagree
Okie. Cám ơn bạn nhé,thank
Vs bn hả c,query_knowledge_base
Ko phải agri,disagree
"Okie, cám ơn shop",thank
Shoppp ơiii,greet
Hi dm,greet
có màu j,query_knowledge_base
Ko phải thanh chắn giường b ạ,disagree
Mình k thích màu đó,disagree
Aloo ạ,greet
"vâng, e cảm ơn chị nhé",thank
Alo sh oiii,greet
C cho e cái hình máy rút gọn e coi thử,query_knowledge_base
cảm ơn banj,thank
"Ok
Bạn nha
Thanks n",thank
À vâng,agree
Vâng :3,agree
Cảm on sh,thank
Alo b oei,greet
Dạ vâng vậy e cảm ơn ạ,thank
Chứ k phải ghế,disagree
Ah Uh. Tại bé nhà tớ 2 tháng nữa mới bắt đầu,agree
Đen thì k thích,disagree
Vâng. Đúng ý rồi 😅,agree
hang của nước nào shop?,query_knowledge_base
bạn oi ư,greet
C ơi...,greet
À. Dạ vâng. Thế e ytam rồi,agree
"À, vâng",agree
Xe nay gia nhieu shop,query_knowledge_base
Alo b ơi???,greet
Alo shoo ơi,greet
xuất xứ nữa,query_knowledge_base
Alo b,greet
C ơi gửi cho e 1 đá khô medela vs ạ,query_knowledge_base
"vâng, e cảm ơn chị nhiều :)",thank
cái số 2 có được giảm giá không ạ,query_knowledge_base
Mình ko muốn màu hồng,disagree
Bể bơi k phải bể bóng ạ,disagree
"dạ em cảm ơn ạ, có gì e hỏi ông xã rồi ib shop nhé",thank
Vâng thế hoá ra có nhiều loại,agree
Đúng ròi b,agree
Alo sop ơi,greet
Vấn dề k phải rẻ hơn,disagree
bạn có quần áo trẻ e luôn k,query_knowledge_base
Đúng rồi nhe,agree
Uh tớ cám ơn,thank
bao hanh the nao ha chi?,query_knowledge_base
da cho e hoi voi ú òa cua hang umoo hay hãng nào vây,query_knowledge_base
"vâng, đành thế a",agree
Chan chat lieu j vay b,query_knowledge_base
Dạ thanks shop nhé,thank
Hihi uh,agree
M cảm on,thank
Shop Ship cho mình bình tiệt trùng,query_knowledge_base
Shop ơi chiếc này đệm lưng làm bằng chất liệu gì đấy ạ?,query_knowledge_base
Dạ m cám ơn,thank
Alo :),greet
"vâng, shop ship giúp t nhé",agree
k phải xe này,disagree
Ok b. Khi nào có sz M mình sẽ lhe với shop. Cảm ơn b nha,thank
Ok cám one shop,thank
gh  thấp ạ,query_knowledge_base
Người hay bot thế?,ask_is_bot
Tớ ko thích quây tròn,disagree
la nguoi hay bot the,ask_is_bot
Hi chi,greet
nhưng mình cũng ko thích mẫu thay thế này,disagree
b gửi giúp ảnh dc ko,query_knowledge_base
Lấy mình 1 túi nha,query_knowledge_base
Dạ ý mình ko phải thế đâu shop ạ,disagree
Alo mình ơi,greet
Ý mình là chất liệu,query_knowledge_base
bé 6 tháng đã dùng đc chưa shop,query_knowledge_base
Đúng rồi B a,agree
Alo chi oi,greet
Không phải 199,disagree
Này c ơi,greet
Alo ship oi,greet
Kích thước 1 tấm này là bn ạ,query_knowledge_base
e lấy thảm 1 5 x1 8m nhé,query_knowledge_base
Alooo b ơiiii,greet
Ko phải chậm,disagree
Có lỗi j c có bảo hành cho e ko,query_knowledge_base
Vâng ạ.e cảm ơn,thank
k phải mẫu bông hoa này,disagree
Dạ mình cám ơn,thank
Hi hie,greet
Màu đy m lại k thích lắm,disagree
tha m tro n kia cho be  bao tuô i,query_knowledge_base
Aloi,greet
Hi ad!!!,greet
Bao nhiu kg,query_knowledge_base
Mình lại ko thích hình kia,disagree
Chị ơi b,greet
"Vâng ạ, chiều em chốt ạ",agree
Ok c e cảm ơn,thank
Mìh cảm ơn trc,thank
hi shop :D,greet
Vâng 😂😂,agree
Hj uk^^,agree
Cảm ơn Shop nha 😂,thank
Chị Thủy ơi!,greet
hàng sx tại đâu vậy b?,query_knowledge_base
Mình k thích nôi kiểu này,disagree
K đc b oi,disagree
Vâng đúng màu e chọn,agree
Loại 7xx,query_knowledge_base
bố nó ko thích màu ấy,disagree
alo alo ah,greet
Hi.. hi.. đúng roi,agree
Ah chị oie,greet
DÚNG RÒI SHOP UI,agree
vcb b ơi,greet
Không phải bơm ạ,disagree
ad có hình gấp xe cho mình xem với đc ko?,query_knowledge_base
Vậy cho t 1 ghế màu ghi đó luôn,query_knowledge_base
xe đẩy dib của nước nào vậy ạ?,query_knowledge_base
cho mình xin link shopee nhé,query_knowledge_base
hí hí. cảm ơn b nhé. chúc shop luôn đắt hàng,thank
À vâng ah,agree
Bé nhà mình 3 tháng rưỡi là sd đc rồi đk?,query_knowledge_base
"Thanks shop, m tham khảo có gì m sẽ ib lại cho shop",thank
Hi sho,greet
Ừa mình cảm ơn nhé,thank
Bánh ơi,greet
Bạn có ảnh mũ k,query_knowledge_base
Vẫn k phải ghe ăn,disagree
Vâng để em qua ạ,agree
Vâng ạ. Mai em ghé ạ,agree
Ah! Uh! K giống lắm,agree
Dạ đúng roi ạ,agree
alo e ơi,greet
